game_id,play_type,duration_of_play,time_after_play,qtr,shooter_name,shooter_id,rebounder_name,rebounder_id,assister_name,assister_id,blocker_name,blocker_id,fouler_name,fouler_id,turnover_player_name,turnover_player_id,violater_name,violater_id,stealer_name,stealer_id,distance,jumper_one_name,jumper_one_id,jumper_two_name,jumper_two_id,jumper_three_name,jumper_three_id,tech_one_name,tech_one_id,tech_two_name,tech_two_id,free_throw_number,free_throw_total,made_free_throw,was_team
401656363,MISSED_SHOT_OFFENSIVE_REBOUND,10.0,07:38.0,1,Derrick Jones Jr.,3936099,Daniel Gafford,4278049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,false,false
401656363,MISSED_SHOT_DEFENSIVE_REBOUND,2.0,07:36.0,1,Daniel Gafford,4278049,Jaylen Brown,3917376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,false,false
401656363,ASSIST_MADE_SHOT,8.0,07:28.0,1,Al Horford,3213,NA,NA,Jaylen Brown,3917376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,false,false
401656363,TIMEOUT,2.0,07:26.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,false,false
401656363,SUBSTITUTION,0.0,07:26.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,false,false
401656363,SUBSTITUTION,0.0,07:26.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,false,false
401656363,PERSONAL_FOUL,14.0,07:12.0,1,NA,NA,NA,NA,NA,NA,NA,NA,Jaylen Brown,3917376,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,false,false
401656363,MADE_SHOT,10.0,07:02.0,1,Luka Doncic,3945274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,false,false
401656363,SHOOTING_FOUL,0.0,07:02.0,1,NA,NA,NA,NA,NA,NA,NA,NA,Al Horford,3213,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,false,false
401656363,FREE_THROW,0.0,07:02.0,1,Luka Doncic,3945274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,true,false
401656363,SHOOTING_FOUL,13.0,06:49.0,1,NA,NA,NA,NA,NA,NA,NA,NA,Kyrie Irving,6442,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,false,false
401656363,FREE_THROW,0.0,06:49.0,1,Derrick White,3078576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,true,false
401656363,SUBSTITUTION,0.0,06:49.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,false,false
401656363,FREE_THROW,0.0,06:49.0,1,Derrick White,3078576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,true,false
401656363,MISSED_SHOT_DEFENSIVE_REBOUND,17.0,06:32.0,1,Kyrie Irving,6442,Jayson Tatum,4065648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,false,false
401656363,MADE_SHOT,7.0,06:25.0,1,Jaylen Brown,3917376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,false,false
401656363,ASSIST_MADE_SHOT,18.0,06:07.0,1,Josh Green,4432811,NA,NA,Luka Doncic,3945274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,false,false
401656363,MISSED_SHOT_DEFENSIVE_REBOUND,22.0,05:45.0,1,Jrue Holiday,3995,Josh Green,4432811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,false,false
401656363,ASSIST_MADE_SHOT,17.0,05:28.0,1,Josh Green,4432811,NA,NA,Luka Doncic,3945274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,false,false
401656363,BLOCK_AND_NO_POSSESSION_CHANGE,20.0,05:08.0,1,Jayson Tatum,4065648,NA,NA,NA,NA,P.J. Washington,4278078,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,false,true
401656363,SUBSTITUTION,0.0,05:08.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,false,false
401656363,JUMPBALL,0.0,05:08.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,Jayson Tatum,4065648,P.J. Washington,4278078,Jayson Tatum,4065648,NA,NA,NA,NA,0,0,false,false
401656363,ASSIST_MADE_SHOT,5.0,05:03.0,1,Derrick White,3078576,NA,NA,Jayson Tatum,4065648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,false,false
401656363,MISSED_SHOT_DEFENSIVE_REBOUND,18.0,04:45.0,1,P.J. Washington,4278078,Jaylen Brown,3917376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,false,false
401656363,MISSED_SHOT_OFFENSIVE_REBOUND,13.0,04:32.0,1,Kristaps Porzingis,3102531,Sam Hauser,4065804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,false,false
401656363,MISSED_SHOT_DEFENSIVE_REBOUND,11.0,04:21.0,1,Jayson Tatum,4065648,Luka Doncic,3945274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,false,false
401656363,ASSIST_MADE_SHOT,24.0,03:57.0,1,Dereck Lively II,4683688,NA,NA,Kyrie Irving,6442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,false,false
401656363,TIMEOUT,1.0,03:56.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,false,false
401656363,SUBSTITUTION,0.0,03:56.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,false,false
401656363,MISSED_SHOT_DEFENSIVE_REBOUND,16.0,03:40.0,1,Derrick White,3078576,Maxi Kleber,2960236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,false,false
401656363,MADE_SHOT,17.0,03:23.0,1,Luka Doncic,3945274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,false,false
401656363,SHOOTING_FOUL,16.0,03:07.0,1,NA,NA,NA,NA,NA,NA,NA,NA,Josh Green,4432811,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,false,false
401656363,FREE_THROW,0.0,03:07.0,1,Kristaps Porzingis,3102531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,false,true
401656363,SUBSTITUTION,0.0,03:07.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,false,false
401656363,FREE_THROW,0.0,03:07.0,1,Kristaps Porzingis,3102531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,true,false
401656363,MISSED_SHOT_DEFENSIVE_REBOUND,15.0,02:52.0,1,Luka Doncic,3945274,Jaylen Brown,3917376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,false,false
401656363,MISSED_SHOT_DEFENSIVE_REBOUND,14.0,02:38.0,1,Derrick White,3078576,Luka Doncic,3945274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,false,false
401656363,OFFENSIVE_FOUL,5.0,02:33.0,1,NA,NA,NA,NA,NA,NA,NA,NA,Dereck Lively II,4683688,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,false,false
401656363,OFFENSIVE_FOUL_TURNOVER,0.0,02:33.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dereck Lively II,4683688,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,false,false
401656363,SUBSTITUTION,0.0,02:33.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,false,false
401656363,SUBSTITUTION,0.0,02:33.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,false,false
401656363,SUBSTITUTION,0.0,02:33.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,false,false
401656363,MISSED_SHOT_OFFENSIVE_REBOUND,13.0,02:20.0,1,Jaylen Brown,3917376,Jrue Holiday,3995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,false,false
401656363,MADE_SHOT,8.0,02:12.0,1,Jayson Tatum,4065648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,false,false
401656363,MADE_SHOT,17.0,01:55.0,1,Dante Exum,3102528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,false,false
401656363,ASSIST_MADE_SHOT,16.0,01:39.0,1,Jaylen Brown,3917376,NA,NA,Jrue Holiday,3995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,false,false
401656363,MISSED_SHOT_DEFENSIVE_REBOUND,27.0,01:12.0,1,Maxi Kleber,2960236,Jrue Holiday,3995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,false,false
401656363,ASSIST_MADE_SHOT,8.0,01:04.0,1,Sam Hauser,4065804,NA,NA,Jrue Holiday,3995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,false,false
401656363,STEAL_TURNOVER,10.0,00:54.0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Luka Doncic,3945274,NA,NA,Sam Hauser,4065804,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,false,false
401656363,ASSIST_MADE_SHOT,4.899999999999999,00:49.100,1,Jaylen Brown,3917376,NA,NA,Jayson Tatum,4065648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,false,false
401656363,STEAL_TURNOVER,7.899999999999999,00:41.200,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P.J. Washington,4278078,NA,NA,Jayson Tatum,4065648,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,false,false
401656363,MADE_SHOT,3.1000000000000014,00:38.100,1,Jayson Tatum,4065648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,false,false
401656363,MISSED_SHOT_DEFENSIVE_REBOUND,12.0,00:26.100,1,Maxi Kleber,2960236,Jaylen Brown,3917376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,false,false
401656363,MISSED_SHOT_DEFENSIVE_REBOUND,23.0,00:03.100,1,Jayson Tatum,4065648,P.J. Washington,4278078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,false,false
401656363,SUBSTITUTION,0.0,12:00.0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,false,false
401656363,SUBSTITUTION,0.0,12:00.0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,false,false
401656363,SUBSTITUTION,0.0,12:00.0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,false,false
401656363,SUBSTITUTION,0.0,12:00.0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,false,false
401656363,ASSIST_MADE_SHOT,24.0,11:36.0,2,Derrick Jones Jr.,3936099,NA,NA,Kyrie Irving,6442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,false,false
401656363,ASSIST_MADE_SHOT,21.0,11:15.0,2,Sam Hauser,4065804,NA,NA,Jayson Tatum,4065648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,false,false
401656363,MADE_SHOT,26.0,10:49.0,2,Kyrie Irving,6442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,false,false
401656363,ASSIST_MADE_SHOT,26.0,10:23.0,2,Jaylen Brown,3917376,NA,NA,Jayson Tatum,4065648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,false,false
401656363,MISSED_SHOT_DEFENSIVE_REBOUND,13.0,10:10.0,2,Kyrie Irving,6442,Al Horford,3213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,false,false
401656363,PERSONAL_FOUL,10.0,10:00.0,2,NA,NA,NA,NA,NA,NA,NA,NA,P.J. Washington,4278078,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,false,false
401656363,SUBSTITUTION,0.0,10:00.0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,false,false
401656363,SUBSTITUTION,0.0,10:00.0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,false,false
401656363,MISSED_SHOT_DEFENSIVE_REBOUND,11.0,09:49.0,2,Jaylen Brown,3917376,Dereck Lively II,4683688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,false,false
401656363,MISSED_SHOT_OFFENSIVE_REBOUND,10.0,09:39.0,2,P.J. Washington,4278078,Dereck Lively II,4683688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,false,false
401656363,MISSED_SHOT_DEFENSIVE_REBOUND,11.0,09:28.0,2,Luka Doncic,3945274,Jayson Tatum,4065648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,false,false
401656363,PERSONAL_FOUL,5.0,09:23.0,2,NA,NA,NA,NA,NA,NA,NA,NA,P.J. Washington,4278078,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,false,false
401656363,SUBSTITUTION,0.0,09:23.0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,false,false
401656363,ASSIST_MADE_SHOT,13.0,09:10.0,2,Kristaps Porzingis,3102531,NA,NA,Jayson Tatum,4065648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,false,false
401656363,ASSIST_MADE_SHOT,24.0,08:46.0,2,Maxi Kleber,2960236,NA,NA,Luka Doncic,3945274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,false,false
