game_id,play_type,duration_of_play,time_after_play,qtr
401656363,MADE_SHOT,11.0,08:10.0,2
401656363,PERSONAL_FOUL,7.0,08:03.0,2
401656363,SUBSTITUTION,0.0,08:03.0,2
401656363,ASSIST_MADE_SHOT,7.0,07:56.0,2
401656363,MADE_SHOT,24.0,07:32.0,2
401656363,SHOOTING_FOUL,9.0,07:23.0,2
401656363,FREE_THROW,0.0,07:23.0,2
401656363,FREE_THROW,0.0,07:23.0,2
401656363,MADE_SHOT,15.0,07:08.0,2
401656363,SHOOTING_FOUL,0.0,07:08.0,2
401656363,SUBSTITUTION,0.0,07:08.0,2
401656363,SUBSTITUTION,0.0,07:08.0,2
401656363,SUBSTITUTION,0.0,07:08.0,2
401656363,FREE_THROW,0.0,07:08.0,2
401656363,SHOOTING_FOUL,12.0,06:56.0,2
401656363,TIMEOUT,0.0,06:56.0,2
401656363,FREE_THROW,0.0,06:56.0,2
401656363,FREE_THROW_DEFENSIVE_REBOUND,0.0,06:56.0,2
401656363,MISSED_SHOT_OFFENSIVE_REBOUND,10.0,06:45.0,2
401656363,MISSED_SHOT_DEFENSIVE_REBOUND,2.0,06:43.0,2
401656363,MISSED_SHOT_OFFENSIVE_REBOUND,12.0,06:31.0,2
401656363,SUBSTITUTION,2.0,06:29.0,2
401656363,ASSIST_MADE_SHOT,4.0,06:25.0,2
401656363,OUT_OF_BOUNCE_TURNOVER,17.0,06:08.0,2
401656363,ASSIST_MADE_SHOT,8.0,06:00.0,2
401656363,MISSED_SHOT_OFFENSIVE_REBOUND,23.0,05:37.0,2
401656363,ASSIST_MADE_SHOT,4.0,05:33.0,2
401656363,ASSIST_MADE_SHOT,23.0,05:10.0,2
401656363,MISSED_SHOT_DEFENSIVE_REBOUND,11.0,04:59.0,2
401656363,ASSIST_MADE_SHOT,5.0,04:54.0,2
401656363,TIMEOUT,1.0,04:53.0,2
401656363,SUBSTITUTION,0.0,04:53.0,2
401656363,BLOCK_AND_NO_POSSESSION_CHANGE,18.0,04:35.0,2
401656363,MISSED_SHOT_OFFENSIVE_REBOUND,6.0,04:29.0,2
401656363,MISSED_SHOT_DEFENSIVE_REBOUND,4.0,04:25.0,2
401656363,TRAVELING_TURNOVER,18.0,04:07.0,2
401656363,MISSED_SHOT_DEFENSIVE_REBOUND,15.0,03:52.0,2
401656363,MISSED_SHOT_DEFENSIVE_REBOUND,7.0,03:45.0,2
401656363,MADE_SHOT,20.0,03:25.0,2
401656363,OUT_OF_BOUNCE_TURNOVER,14.0,03:11.0,2
401656363,TIMEOUT,0.0,03:11.0,2
401656363,SUBSTITUTION,0.0,03:11.0,2
401656363,SUBSTITUTION,0.0,03:11.0,2
401656363,SUBSTITUTION,0.0,03:11.0,2
401656363,ASSIST_MADE_SHOT,20.0,02:51.0,2
401656363,STEAL_TURNOVER,21.0,02:30.0,2
401656363,ASSIST_MADE_SHOT,4.0,02:26.0,2
401656363,ASSIST_MADE_SHOT,15.0,02:11.0,2
401656363,ASSIST_MADE_SHOT,19.0,01:52.0,2
401656363,MISSED_SHOT_DEFENSIVE_REBOUND,19.0,01:33.0,2
401656363,ASSIST_MADE_SHOT,13.0,01:20.0,2
401656363,MADE_SHOT,17.0,01:03.0,2
401656363,STEAL_TURNOVER,14.0,00:49.0,2
401656363,STEAL_TURNOVER,3.0,00:46.0,2
401656363,SHOOTING_FOUL,4.899999999999999,00:41.100,2
401656363,FREE_THROW,0.0,00:41.100,2
401656363,FREE_THROW,0.0,00:41.100,2
401656363,MISSED_SHOT_DEFENSIVE_REBOUND,10.0,00:31.100,2
401656363,MADE_SHOT,18.0,00:13.99,2
401656363,MADE_SHOT,9.1,00:04.0,2
401656363,SHOOTING_FOUL,0.0,00:04.0,2
401656363,SUBSTITUTION,0.0,00:04.0,2
401656363,SUBSTITUTION,0.0,00:04.0,2
401656363,FREE_THROW_DEFENSIVE_REBOUND,0.0,00:04.0,2
401656363,ASSIST_MADE_SHOT,2.0,00:00.0,2
401656363,SUBSTITUTION,0.0,12:00.0,3
401656363,SUBSTITUTION,0.0,12:00.0,3
401656363,SUBSTITUTION,0.0,12:00.0,3
401656363,MISSED_SHOT_DEFENSIVE_REBOUND,16.0,11:44.0,3
401656363,MISSED_SHOT_DEFENSIVE_REBOUND,10.0,11:34.0,3
401656363,MADE_SHOT,10.0,11:24.0,3
401656363,ASSIST_MADE_SHOT,20.0,11:04.0,3
401656363,MISSED_SHOT_DEFENSIVE_REBOUND,17.0,10:47.0,3
401656363,PERSONAL_FOUL,16.0,10:31.0,3
401656363,ASSIST_MADE_SHOT,9.0,10:22.0,3
401656363,PERSONAL_FOUL,19.0,10:03.0,3
401656363,ASSIST_MADE_SHOT,3.0,10:00.0,3
401656363,ASSIST_MADE_SHOT,14.0,09:46.0,3
401656363,PERSONAL_FOUL,9.0,09:37.0,3
401656363,SUBSTITUTION,0.0,09:37.0,3
401656363,SHOOTING_FOUL,5.0,09:32.0,3
401656363,FREE_THROW,0.0,09:32.0,3
401656363,FREE_THROW,0.0,09:32.0,3
401656363,SHOOTING_FOUL,13.0,09:19.0,3
401656363,FREE_THROW,0.0,09:19.0,3
401656363,FREE_THROW_OFFENSIVE_REBOUND,0.0,09:19.0,3
401656363,ASSIST_MADE_SHOT,7.0,09:10.0,3
401656363,TIMEOUT,0.0,09:10.0,3
401656363,SUBSTITUTION,0.0,09:10.0,3
401656363,MISSED_SHOT_DEFENSIVE_REBOUND,21.0,08:49.0,3
401656363,MISSED_SHOT_DEFENSIVE_REBOUND,17.0,08:32.0,3
401656363,MISSED_SHOT_OFFENSIVE_REBOUND,14.0,08:18.0,3
401656363,MADE_SHOT,1.0,08:17.0,3
401656363,MISSED_SHOT_DEFENSIVE_REBOUND,11.0,08:06.0,3
401656363,MISSED_SHOT_DEFENSIVE_REBOUND,14.0,07:52.0,3
401656363,MISSED_SHOT_DEFENSIVE_REBOUND,13.0,07:39.0,3
401656363,MADE_SHOT,13.0,07:26.0,3
401656363,STEAL_TURNOVER,22.0,07:04.0,3
401656363,MISSED_SHOT_DEFENSIVE_REBOUND,10.0,06:54.0,3
401656363,MISSED_SHOT_OFFENSIVE_REBOUND,16.0,06:38.0,3
401656363,PERSONAL_FOUL,7.0,06:31.0,3
401656363,SUBSTITUTION,0.0,06:31.0,3
401656363,PERSONAL_FOUL,3.0,06:28.0,3
401656363,MISSED_SHOT_OFFENSIVE_REBOUND,18.0,06:10.0,3
401656363,MISSED_SHOT_DEFENSIVE_REBOUND,10.0,06:00.0,3
401656363,ASSIST_MADE_SHOT,5.0,05:55.0,3
401656363,ASSIST_MADE_SHOT,30.0,05:25.0,3
401656363,MADE_SHOT,16.0,05:09.0,3
401656363,SHOOTING_FOUL,0.0,05:09.0,3
401656363,SUBSTITUTION,0.0,05:09.0,3
401656363,FREE_THROW,0.0,05:09.0,3
401656363,BLOCK_AND_POSSESSION_CHANGE,19.0,04:50.0,3
401656363,STEAL_TURNOVER,5.0,04:45.0,3
401656363,SHOOTING_FOUL,4.0,04:41.0,3
401656363,FREE_THROW,0.0,04:41.0,3
401656363,SUBSTITUTION,0.0,04:41.0,3
401656363,SUBSTITUTION,0.0,04:41.0,3
401656363,SUBSTITUTION,0.0,04:41.0,3
401656363,FREE_THROW,0.0,04:41.0,3
401656363,MISSED_SHOT_DEFENSIVE_REBOUND,12.0,04:29.0,3
401656363,MISSED_SHOT_DEFENSIVE_REBOUND,19.0,04:10.0,3
401656363,MADE_SHOT,5.0,04:05.0,3
401656363,TIMEOUT,0.0,04:05.0,3
401656363,SUBSTITUTION,0.0,04:05.0,3
401656363,SUBSTITUTION,0.0,04:05.0,3
401656363,MISSED_SHOT_OFFENSIVE_REBOUND,26.0,03:39.0,3
401656363,MISSED_SHOT_OFFENSIVE_REBOUND,15.0,03:24.0,3
401656363,MISSED_SHOT_OFFENSIVE_REBOUND,2.0,03:22.0,3
401656363,MISSED_SHOT_DEFENSIVE_REBOUND,2.0,03:20.0,3
401656363,MISSED_SHOT_DEFENSIVE_REBOUND,8.0,03:12.0,3
401656363,MISSED_SHOT_DEFENSIVE_REBOUND,9.0,03:03.0,3
401656363,LOOSE_BALL_FOUL,0.0,03:03.0,3
401656363,FREE_THROW,0.0,03:03.0,3
401656363,SUBSTITUTION,0.0,03:03.0,3
401656363,FREE_THROW,0.0,03:03.0,3
401656363,SUBSTITUTION,0.0,03:03.0,3
401656363,DEFENSIVE_REBOUND,3.0,03:00.0,3
401656363,MISSED_SHOT_DEFENSIVE_REBOUND,23.0,02:37.0,3
401656363,MISSED_SHOT_DEFENSIVE_REBOUND,11.0,02:26.0,3
401656363,SUBSTITUTION,0.0,02:26.0,3
401656363,ASSIST_MADE_SHOT,17.0,02:09.0,3
401656363,MISSED_SHOT_DEFENSIVE_REBOUND,14.0,01:55.0,3
401656363,MADE_SHOT,13.0,01:42.0,3
401656363,MISSED_SHOT_DEFENSIVE_REBOUND,13.0,01:29.0,3
401656363,STEAL_TURNOVER,7.0,01:22.0,3
401656363,MISSED_SHOT_OFFENSIVE_REBOUND,7.0,01:15.0,3
401656363,MISSED_SHOT_DEFENSIVE_REBOUND,4.0,01:11.0,3
401656363,MISSED_SHOT_OFFENSIVE_REBOUND,21.9,00:49.100,3
401656363,MISSED_SHOT_DEFENSIVE_REBOUND,12.100000000000001,00:37.0,3
401656363,MADE_SHOT,14.0,00:23.0,3
401656363,SUBSTITUTION,0.0,12:00.0,4
401656363,SUBSTITUTION,0.0,12:00.0,4
401656363,SUBSTITUTION,0.0,12:00.0,4
401656363,SUBSTITUTION,0.0,12:00.0,4
401656363,MISSED_SHOT_DEFENSIVE_REBOUND,23.0,11:37.0,4
